variable,value
845,0
846,0
847,0
848,1
849,0
850,1
851,0
852,0
853,1
854,0
855,0
856,0
857,1
858,1
859,1
860,0
861,1
862,0
863,0
864,0
865,1
866,0
867,0
868,0
869,0
870,0
871,1
872,1
873,1
874,0
875,0
876,0
877,0
878,1
879,1
880,0
881,1
882,1
883,1
884,1
885,0
886,0
887,1
888,0
889,1
890,0
891,0
892,1
893,1
894,1
895,0
896,1
897,1
898,1
899,1
900,0
901,1
902,0
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,0
913,0
914,0
915,1
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,1
930,0
931,1
932,1
933,1
934,0
935,0
936,1
937,0
938,1
939,0
940,0
941,0
942,0
943,0
944,0
945,1
946,0
947,1
948,1
949,0
950,0
951,0
952,1
953,1
954,1
955,0
956,1
957,1
958,0
959,1
960,0
961,1
962,1
963,0
964,1
965,1
966,1
967,0
968,1
969,1
970,1
971,1
972,1
973,1
974,0
975,1
976,1
977,0
978,1
979,0
980,1
981,1
982,1
983,1
984,1
985,0
986,0
987,1
988,0
989,1
990,0
991,0
992,1
993,1
994,0
995,1
996,1
997,1
998,0
999,0
1000,1
